Index,PctInt*100,NGI Set Intensity,x,y,Lumens
285,852,0.0852,0.1262,0.0625,0.46304
286,855,0.0855,0.1262,0.0625,0.46485
287,858,0.0858,0.1262,0.0627,0.46534
288,861,0.0861,0.1262,0.0626,0.46664
289,864,0.0864,0.1262,0.0625,0.46793
290,867,0.0867,0.1262,0.0626,0.46923
291,870,0.087,0.1262,0.0625,0.46957
292,873,0.0873,0.1262,0.0625,0.47061
293,876,0.0876,0.1262,0.0626,0.47162
294,879,0.0879,0.1262,0.0625,0.47319
295,882,0.0882,0.1263,0.0626,0.47373
296,885,0.0885,0.1262,0.0625,0.47654
297,888,0.0888,0.1262,0.0624,0.47856
298,891,0.0891,0.1262,0.0626,0.47831
299,894,0.0894,0.1263,0.0623,0.48083
300,897,0.0897,0.1263,0.0624,0.48157
301,900,0.09,0.1263,0.0624,0.48233
302,903,0.0903,0.1263,0.0623,0.48442
303,906,0.0906,0.1263,0.0623,0.48583
304,909,0.0909,0.1263,0.0622,0.48677
305,912,0.0912,0.1263,0.0622,0.48746
306,915,0.0915,0.1263,0.0623,0.48924
307,918,0.0918,0.1263,0.0621,0.49096
308,921,0.0921,0.1263,0.0625,0.49134
309,924,0.0924,0.1264,0.0622,0.49396
310,927,0.0927,0.1264,0.0621,0.49605
311,930,0.093,0.1264,0.0622,0.49665
312,933,0.0933,0.1264,0.0624,0.49684
313,936,0.0936,0.1264,0.0621,0.50046
314,939,0.0939,0.1264,0.0621,0.50282
315,942,0.0942,0.1264,0.0622,0.50316
316,945,0.0945,0.1264,0.0622,0.50318
317,948,0.0948,0.1264,0.0623,0.50335
318,951,0.0951,0.1264,0.062,0.5041
319,954,0.0954,0.1264,0.062,0.50416
320,957,0.0957,0.1264,0.0622,0.50379
321,960,0.096,0.1264,0.0621,0.50557
322,963,0.0963,0.1265,0.0621,0.50828
323,966,0.0966,0.1265,0.0622,0.50852
324,969,0.0969,0.1264,0.062,0.51046
325,972,0.0972,0.1265,0.0621,0.51055
326,975,0.0975,0.1265,0.0623,0.51161
327,978,0.0978,0.1265,0.0621,0.51316
328,981,0.0981,0.1265,0.0621,0.51392
329,984,0.0984,0.1265,0.062,0.51606
330,987,0.0987,0.1265,0.0621,0.51752
331,990,0.099,0.1265,0.0621,0.51801
332,993,0.0993,0.1265,0.0619,0.52073
333,996,0.0996,0.1265,0.062,0.52147
334,999,0.0999,0.1265,0.062,0.52236
335,1010,0.101,0.1265,0.0619,0.52796
336,1020,0.102,0.1265,0.0618,0.53129
337,1030,0.103,0.1266,0.0619,0.53432
338,1040,0.104,0.1267,0.062,0.53853
339,1050,0.105,0.1266,0.0616,0.54396
340,1060,0.106,0.1267,0.0617,0.54779
341,1070,0.107,0.1267,0.0617,0.55098
